feature,importance
img_feat_268,0.0
img_feat_269,0.0
img_feat_270,0.0
img_feat_271,0.0
img_feat_272,0.0
img_feat_273,0.0
img_feat_274,0.0
img_feat_275,0.0
img_feat_276,0.0
img_feat_277,0.0
img_feat_278,0.0
img_feat_279,0.0
img_feat_280,0.0
img_feat_281,0.0
img_feat_282,0.0
img_feat_283,0.0
img_feat_284,0.0
img_feat_285,0.0
img_feat_286,0.0
img_feat_287,0.0
img_feat_288,0.0
img_feat_289,0.0
img_feat_290,0.0
img_feat_291,0.0
img_feat_292,0.0
img_feat_293,0.0
img_feat_294,0.0
img_feat_295,0.0
img_feat_296,0.0
img_feat_297,0.0
img_feat_298,0.0
img_feat_299,0.0
img_feat_300,0.0
img_feat_301,0.0
img_feat_302,0.0
img_feat_303,0.0
img_feat_304,0.0
img_feat_305,0.0
img_feat_306,0.0
img_feat_307,0.0
img_feat_308,0.0
img_feat_309,0.0
img_feat_310,0.0
img_feat_311,0.0
img_feat_312,0.0
img_feat_313,0.0
img_feat_314,0.0
img_feat_315,0.0
img_feat_316,0.0
img_feat_317,0.0
img_feat_318,0.0
img_feat_319,0.0
img_feat_320,0.0
img_feat_321,0.0
img_feat_322,0.0
img_feat_323,0.0
img_feat_324,0.0
img_feat_325,0.0
img_feat_326,0.0
img_feat_327,0.0
img_feat_328,0.0
img_feat_329,0.0
img_feat_330,0.0
img_feat_331,0.0
img_feat_332,0.0
img_feat_333,0.0
img_feat_334,0.0
img_feat_335,0.0
img_feat_336,0.0
img_feat_337,0.0
img_feat_338,0.0
img_feat_339,0.0
img_feat_340,0.0
img_feat_341,0.0
img_feat_342,0.0
img_feat_343,0.0
img_feat_344,0.0
img_feat_345,0.0
img_feat_346,0.0
img_feat_347,0.0
img_feat_348,0.0
img_feat_349,0.0
img_feat_350,0.0
img_feat_351,0.0
img_feat_352,0.0
img_feat_353,0.0
img_feat_354,0.0
img_feat_355,0.0
img_feat_356,0.0
img_feat_357,0.0
img_feat_358,0.0
img_feat_359,0.0
img_feat_360,0.0
img_feat_361,0.0
img_feat_362,0.0
img_feat_363,0.0
img_feat_364,0.0
img_feat_365,0.0
img_feat_366,0.0
img_feat_367,0.0
img_feat_368,0.0
img_feat_369,0.0
img_feat_370,0.0
img_feat_371,0.0
img_feat_372,0.0
img_feat_373,0.0
img_feat_374,0.0
img_feat_375,0.0
img_feat_376,0.0
img_feat_377,0.0
img_feat_378,0.0
img_feat_379,0.0
img_feat_380,0.0
img_feat_381,0.0
img_feat_382,0.0
img_feat_383,0.0
img_feat_384,0.0
img_feat_385,0.0
img_feat_386,0.0
img_feat_387,0.0
img_feat_388,0.0
img_feat_389,0.0
img_feat_390,0.0
img_feat_391,0.0
img_feat_392,0.0
img_feat_393,0.0
img_feat_394,0.0
img_feat_395,0.0
img_feat_396,0.0
img_feat_397,0.0
img_feat_398,0.0
img_feat_399,0.0
img_feat_400,0.0
img_feat_401,0.0
img_feat_402,0.0
img_feat_403,0.0
img_feat_404,0.0
img_feat_405,0.0
img_feat_406,0.0
img_feat_407,0.0
img_feat_408,0.0
img_feat_409,0.0
img_feat_410,0.0
img_feat_411,0.0
img_feat_412,0.0
img_feat_413,0.0
img_feat_414,0.0
img_feat_415,0.0
img_feat_416,0.0
img_feat_417,0.0
img_feat_418,0.0
img_feat_419,0.0
img_feat_420,0.0
img_feat_421,0.0
img_feat_422,0.0
img_feat_423,0.0
img_feat_424,0.0
img_feat_425,0.0
img_feat_426,0.0
img_feat_427,0.0
img_feat_428,0.0
img_feat_429,0.0
img_feat_430,0.0
img_feat_431,0.0
img_feat_432,0.0
img_feat_433,0.0
img_feat_434,0.0
img_feat_435,0.0
img_feat_436,0.0
img_feat_437,0.0
img_feat_438,0.0
img_feat_439,0.0
img_feat_440,0.0
img_feat_441,0.0
img_feat_442,0.0
img_feat_443,0.0
img_feat_444,0.0
img_feat_445,0.0
img_feat_446,0.0
img_feat_447,0.0
img_feat_448,0.0
img_feat_449,0.0
img_feat_450,0.0
img_feat_451,0.0
img_feat_452,0.0
img_feat_453,0.0
img_feat_454,0.0
img_feat_455,0.0
img_feat_456,0.0
img_feat_457,0.0
img_feat_458,0.0
img_feat_459,0.0
img_feat_460,0.0
img_feat_461,0.0
img_feat_463,0.0
img_feat_464,0.0
img_feat_465,0.0
img_feat_466,0.0
img_feat_467,0.0
img_feat_468,0.0
img_feat_469,0.0
img_feat_470,0.0
img_feat_471,0.0
img_feat_472,0.0
img_feat_473,0.0
img_feat_474,0.0
img_feat_475,0.0
img_feat_476,0.0
img_feat_477,0.0
img_feat_478,0.0
img_feat_479,0.0
img_feat_480,0.0
img_feat_481,0.0
img_feat_482,0.0
img_feat_483,0.0
img_feat_484,0.0
img_feat_485,0.0
img_feat_486,0.0
img_feat_487,0.0
img_feat_488,0.0
img_feat_489,0.0
img_feat_490,0.0
img_feat_491,0.0
img_feat_492,0.0
img_feat_493,0.0
img_feat_494,0.0
img_feat_495,0.0
img_feat_496,0.0
img_feat_497,0.0
img_feat_498,0.0
img_feat_499,0.0
img_feat_500,0.0
img_feat_501,0.0
img_feat_502,0.0
img_feat_503,0.0
img_feat_504,0.0
img_feat_505,0.0
img_feat_506,0.0
img_feat_507,0.0
img_feat_508,0.0
img_feat_509,0.0
img_feat_510,0.0
img_feat_511,0.0
text_feat_0,0.0
text_feat_1,0.0
text_feat_2,0.0
text_feat_3,0.0
text_feat_4,0.0
text_feat_5,0.0
text_feat_6,0.0
text_feat_7,0.0
text_feat_8,0.0
text_feat_9,0.0
text_feat_10,0.0
text_feat_11,0.0
text_feat_12,0.0
text_feat_13,0.0
text_feat_14,0.0
text_feat_15,0.0
text_feat_16,0.0
text_feat_17,0.0
text_feat_18,0.0
text_feat_19,0.0
text_feat_20,0.0
text_feat_21,0.0
text_feat_22,0.0
text_feat_23,0.0
text_feat_24,0.0
text_feat_25,0.0
text_feat_26,0.0
text_feat_27,0.0
text_feat_28,0.0
text_feat_29,0.0
text_feat_30,0.0
text_feat_31,0.0
text_feat_32,0.0
text_feat_33,0.0
text_feat_34,0.0
text_feat_35,0.0
text_feat_36,0.0
text_feat_37,0.0
text_feat_38,0.0
text_feat_39,0.0
text_feat_40,0.0
text_feat_41,0.0
text_feat_42,0.0
text_feat_43,0.0
text_feat_44,0.0
text_feat_45,0.0
text_feat_46,0.0
text_feat_47,0.0
text_feat_48,0.0
text_feat_49,0.0
text_feat_50,0.0
text_feat_51,0.0
text_feat_52,0.0
text_feat_53,0.0
text_feat_54,0.0
text_feat_55,0.0
text_feat_56,0.0
text_feat_57,0.0
text_feat_58,0.0
text_feat_59,0.0
text_feat_60,0.0
text_feat_61,0.0
text_feat_62,0.0
text_feat_63,0.0
text_feat_64,0.0
text_feat_65,0.0
text_feat_66,0.0
text_feat_67,0.0
text_feat_68,0.0
text_feat_69,0.0
text_feat_70,0.0
text_feat_71,0.0
text_feat_72,0.0
text_feat_73,0.0
text_feat_74,0.0
text_feat_75,0.0
text_feat_76,0.0
text_feat_77,0.0
text_feat_78,0.0
text_feat_79,0.0
text_feat_80,0.0
text_feat_81,0.0
text_feat_82,0.0
text_feat_83,0.0
text_feat_84,0.0
text_feat_85,0.0
text_feat_86,0.0
text_feat_87,0.0
text_feat_88,0.0
text_feat_89,0.0
text_feat_90,0.0
text_feat_91,0.0
text_feat_92,0.0
text_feat_93,0.0
views,0.0
text_feat_95,0.0
text_feat_96,0.0
text_feat_97,0.0
text_feat_98,0.0
text_feat_99,0.0
text_feat_100,0.0
text_feat_101,0.0
text_feat_102,0.0
text_feat_103,0.0
text_feat_104,0.0
text_feat_105,0.0
text_feat_106,0.0
text_feat_107,0.0
text_feat_108,0.0
text_feat_109,0.0
text_feat_110,0.0
text_feat_111,0.0
text_feat_112,0.0
text_feat_113,0.0
text_feat_114,0.0
text_feat_115,0.0
text_feat_116,0.0
text_feat_117,0.0
text_feat_118,0.0
text_feat_119,0.0
text_feat_120,0.0
text_feat_121,0.0
text_feat_122,0.0
text_feat_123,0.0
text_feat_124,0.0
text_feat_125,0.0
text_feat_126,0.0
text_feat_127,0.0
text_feat_128,0.0
text_feat_129,0.0
text_feat_130,0.0
text_feat_131,0.0
text_feat_132,0.0
text_feat_133,0.0
text_feat_134,0.0
text_feat_135,0.0
text_feat_136,0.0
text_feat_137,0.0
text_feat_138,0.0
text_feat_139,0.0
text_feat_140,0.0
text_feat_141,0.0
text_feat_142,0.0
text_feat_143,0.0
text_feat_144,0.0
text_feat_145,0.0
text_feat_146,0.0
text_feat_147,0.0
text_feat_148,0.0
text_feat_149,0.0
text_feat_150,0.0
text_feat_151,0.0
text_feat_152,0.0
text_feat_153,0.0
text_feat_154,0.0
text_feat_155,0.0
text_feat_156,0.0
text_feat_157,0.0
text_feat_158,0.0
text_feat_159,0.0
text_feat_160,0.0
text_feat_161,0.0
text_feat_162,0.0
text_feat_163,0.0
text_feat_164,0.0
text_feat_165,0.0
text_feat_166,0.0
text_feat_167,0.0
text_feat_168,0.0
text_feat_169,0.0
text_feat_170,0.0
text_feat_171,0.0
text_feat_172,0.0
text_feat_173,0.0
text_feat_174,0.0
text_feat_175,0.0
text_feat_176,0.0
text_feat_177,0.0
text_feat_178,0.0
text_feat_179,0.0
text_feat_180,0.0
text_feat_181,0.0
text_feat_182,0.0
text_feat_183,0.0
text_feat_184,0.0
text_feat_185,0.0
text_feat_186,0.0
text_feat_187,0.0
text_feat_188,0.0
text_feat_189,0.0
text_feat_190,0.0
text_feat_191,0.0
text_feat_192,0.0
text_feat_193,0.0
text_feat_194,0.0
text_feat_195,0.0
text_feat_196,0.0
text_feat_197,0.0
text_feat_198,0.0
text_feat_199,0.0
text_feat_200,0.0
text_feat_201,0.0
text_feat_202,0.0
text_feat_203,0.0
text_feat_204,0.0
text_feat_205,0.0
text_feat_206,0.0
text_feat_207,0.0
text_feat_208,0.0
text_feat_209,0.0
text_feat_210,0.0
text_feat_211,0.0
text_feat_212,0.0
text_feat_213,0.0
text_feat_214,0.0
text_feat_215,0.0
